"Res. Center for Microperipherik, Technische Univ. Berlin, Germany",0,0,O. Willum,1,0.0000,new product;product group;active product;long product lifetime;old product;product generation;new technology;environmental benefit;environmental choice;environmental consequence,0.0000
"Institut Supérieur de Gestion de Tunis, Bouchoucha, Tunisia 2000;Laboratory of Operational Research, Decision and Control, Institut Supérieur de Gestion, University of Tunis, Tunisia",10,2,Mohamed Limam,7,3.5000,support vector machine;Component Analysis;Kernel Principal;basic process control method;control chart;control model;control strategy;fuzzy multinomial control chartsTwo;multivariate control chart;proposed control chart,1.5833
,0,0,Keunhyung Lee,1,0.0000,new scheme;Iterative MAP Turbo DecoderThe;SNR estimator;channel SNR;channel SNR estimation;channel reliability value;estimated channel signal;turbo code;turbo decoder;iterative maximum,0.0000
,0,0,Haseeb Akhtar,1,0.0000,call setup;PTT deployment;network complexity;network performance metrics;regulated carrier-grade wireless network;group communication;peer-peer half duplex communication;regulated technology;Medical Emergency Response Teams;Public Safety,0.0000
"Faculty of Mathematics and Computer Science, University of Łódź, Łódź, Poland",7,1,W. Banaszczyk,5,6.2500,Wiley Periodicals;qquad k;assumptions w;dimension n;log n;sqrt n;Inc. Random Struct;classical Flatness Theorem;convex body disjoint;log m,6.5208
,0,0,Chen Li,1,0.0000,Web service;Web Service Profiler-Reoptimizer-Cache;Web ServicesQuery optimization;Web service query optimization;adaptive query optimization model;querying optimization;WSPRC model;adaptive greedy algorithm;Adaptive Model;Query Optimization,0.0000
,0,0,Xinzheng Gu,1,0.0000,large monitoring system;large-scale monitoring system;reliability technique;system reliability;combined fault-tolerant approach;hardware failure;hardware node;proposed approach;failure detection;Improving Reliability,0.0000
"State Grid Information & Telecommunication Co.Ltd, Beijing, China 100761",2,1,Jian-ming Liu,4,1.0000,host image;watermark bit;proposed scheme;experimental result;singular value decomposition;embed watermark imperceptibly;secret watermark bit;watermark extraction;watermarking scheme;human visual system,0.5000
"IBM Communication Products Division, Research Triangle Park, North Carolina",1,1,M. Pozefsky,1,0.2000,advanced program-to-program communication;SNA service;program-to-program communication service;SNASystems Network Architecture,0.0400
,0,0,Cong Li,1,0.0000,new item;Dynamic Browsing Tree;Dynamic Browsing Tree Model;item category similarity;new item problem;new item recommendation;cold-start problem;cold-start recommendation method;proposed method;recommendation algorithm,0.0000
,1,1,Stefanos Kaxiras,1,0.3333,Fault Detection;Instruction Precomputation,0.1111
"Navigation School, Wuhan University of Technology, Wuhan, Hubei, People's Republic of China",0,0,Jingxian Liu,2,0.0000,high resolution;novel method;proposed method;feature curve;reliable feature;circular projection;gray-level projection;wavelet processing;aerial image;2-D pattern,0.0000
,0,0,Kyung-Hwan Kim,2,0.0000,construction industry;steel frame process;actual schedule information;estimated schedule information;real-time schedule progress management;schedule progress management;specific area;study extracts user;system development;various system,0.0000
,0,0,Kee Baek Kim,1,0.0000,Image Registration;Pyramid Edge Detection;image mosaicing;image processing;accuracy information;accurate registration information;registration information;Line FittingImage Registration;proposed algorithm;high efficiency,0.0000
,0,0,Leonardo Gigli,1,0.0000,WebThis paper;classical paper world;Added Value Content;Content Enrichment;Free Press;Free-Press editorial company;Italian Ministry;MPEG-21 DIDL;Semi-Automated Production;architectural detail,0.0000
,0,0,Thomas Wolff,1,0.0000,Parallel Programs;Shared Variables;Transition Sematics,0.0000
"The MITRE Corporation, Eatontown, NJ",0,0,Jon A. McConnell,1,0.0000,implicit traffic;design approach;realistic representation;explicit traffic;overall traffic;communications network;future communications system;new communications systems model;realistic analysis;simulation environment increase,0.0000
"Department of Economics, University of York, Heslington, York, YO10 5DD, UK",0,0,Patrick Marsh,1,0.0000,fit test;alternate density estimator;consistent series density estimator;exponential series density estimationThe;established test;exponential family;likelihood ratio test;new nonparametric goodness;new test;numerical experiment,0.0000
"Nippon Electric Co., Ltd., Kawasaki, Japan",5,1,Takashi Ishidate,2,1.6667,main memory;peripheral circuit;72-bit-per-word 100-nsec read-cycle memory;Eddycard memory;experimental Eddycard memory system;slower memory;UNIVAC claim;closed-loop conductor;information ZERO;semi-permanent storageA high-speed semi-permanent,3.0556
"Faculty of Aerospace Engineering, Technion, Israel Institute of Technology, Haifa 32000, Israel",1,1,Y. Moryossef,1,0.5000,urbulence equation dependent variable;turbulence model;turbulence modelsA;turbulence variable;two-equation turbulence model;w turbulence model;implicit procedure;new general implicit procedure;new procedure;positive implicit procedure,0.7500
"ICT Building, University of Innsbruck, 6020 Innsbruck, Austria.;Information management group (img), university of manchester, kilburn building, manchester, uk/ email: fmartinrecuerda@cs.man.ac.uk",27,2,Francisco Martin-Recuerda,6,7.6444,Semantic Web;Semantic Web Services;Semantic Web ServicesAlthough Semantic;Semantic Web ServicesTriple Space;Semantic Web service;Semantic Web services environment;Web service capability;Web service communication model;Web service discovery;Web service provider,4.2195
,0,0,Yong-Hua Zang,1,0.0000,Color Rendering;Glossy Ink-Jet Paper;CIELAB color difference scale;color rendering evaluation;large uniform color target;measure color rendering quality;original color image;standard CIELAB color difference;Fuzzy DecisionColor rendering quality;ink-jet printing,0.0000
Auburn University,0,0,William A. Spencer,2,0.0000,instructional unit;student-centered instructional software;instructional software;Decision Point;instructional technology;quality software;case study;case study method;educationThis qualitative study;social study,0.0000
"Technion  Israel Institute of Technology, Haifa, Israel",11,0,Alex Miropolsky,2,4.8333,data reduction;scanned data;surface reconstruction;proposed volumetric model;thin part;Octree data structure;normals data;typical sampling data;multiresolution surface reconstruction;proposed surface reconstruction approach,6.3611
"School of Business, Public Administration and Technology, University of Twente, Enschede, The Netherlands;University of Ottawa, Telfer School of Management, Ottawa, Canada",3,1,M. Mainegra Hing,4,0.7000,clinical practice guideline;logical model;mitigation algorithm;adverse interaction;patient information;concurrent application;feasible therapy;Constraint Logic Programming;clinical decision support;clinical decision support system,0.9289
"Chemical and Environmental Engineering Laboratory (LEQUIA), University of Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain, EU Email: {montse, quim, manel, ignasi}@lequia.udg.es;Chemical & Environmental Engineering Laboratory, Girona, Catalonia",8,0,M. Martínez,2,1.5000,knowledge sharing;Episode-Based Reasoning;past temporal state;temporal CBR system;temporal case-based reasoning;temporal dependency;temporal domain;temporal sequence;CBR system solution;classical CBR system,1.5083
"ITAD, Technology Park, Ljubljana, Slovenia",0,0,Boštjan Delak,1,0.0000,due diligence;due diligence development;Information System Due DiligenceThe;analytical tool;financial organization;generalized experience;productive investment,0.0000
,0,0,Kaili Kan,1,0.0000,human resources management;game theory;human resources management outsourcing;principal-agent theory;Application Practice;Chinese enterprise;Economic Analysis;Human Resources ManagementThis paper;economic view;incentive compensation,0.0000
,1,1,Chengfu Yi,1,0.2000,GNN model;Time-Varying Lyapunov Equation SolvingIn;gradient-based neural network;neural network;online Lyapunov equation;recurrent neural network;resultant Zhang neural network;time-varying Lyapunov equation;time-varying Lyapunov matrix equation;time-varying problem,0.0900
"AMRC Factory of the Future, Advanced Manufacturing Park, Catcliffe, Rotherham, UK S60 5TZ",0,0,Keith Ridgway,1,0.0000,flexible component;flexible pipe;Advanced Fixing;actual position;closed structure;interference-checking software;maintenance purpose;novel fastening;real-time feedback;robot system,0.0000
"Automation Technology, Champaign, Illinois",0,0,David M. Hudak,1,0.0000,computerized law enforcement toolThe;law enforcement agency;local law enforcement agency;police-oriented data;command terminal;continuous requirement;crucial problem;life blood;management decision;records maintenance,0.0000
,0,0,Jing Wan,1,0.0000,Discharge Capacity;Lithium Battery;cloud model;CNN prediction model;Cloud Neural NetworkThe prediction;corresponding CNN prediction model;discharge current;discharge history;lithium battery discharge capacity;nonlinear prediction ability,0.0000
,0,0,Yang Qianqian,1,0.0000,higher education;Employment Rate;employment quality;employment situation;meaning employment quality;EmploymentOur government;scientific development;comprehensive assessment;educational administrative department;various type,0.0000
,1,1,Millan-Garcia Leonardo,1,0.2000,video-based smoke detection;isolated noisy block;chrominance detection;chrominance detection threshold;motion detection threshold;smoke detection;smoke region;accumulative motion orientation;proposed improvement;proposed scheme,0.2567
"Department of Computer Science and Engineering, University of Nevada, Reno, Reno, NV",0,0,J. Jaquish,1,0.0000,digital elevation model;GIS data;GIS vector layer;geographic information systems vector;interactive visualization method;interactive visualization tool;software package,0.0000
"Supercomputer Computations Research Institute Florida State University, B186 Tallahassee, Florida 323064052, U.S.A.",0,0,Hwa A. Lim,1,0.0000,life cycle;bald eagle;Florida bald eagleA computational;eagle population;future population;human population growth;simulation model;computer simulation;current available data;different age group,0.0000
"Department of Biomedical Engineering, Cleveland Clinic Foundation, Cleveland, OH",0,0,Christopher R. Butson,1,0.0000,diffusion tensor;deep brain stimulation;oculomotor nerve stimulation;stimulation voltage;brain tissue;electric field modelsDeep brain;inhomogeneous tissue conductivity;isotropic tissue volume;tissue electrical property;DTI tensor field,0.0000
"Laboratório de Organização e Tratamento da Informação Eletrônica, Centro Nacional de Pesquisa Tecnológica em Informática para a Agricultura (Embrapa Inform& ...",0,0,"Ivo Pierozzi, Jr.",1,0.0000,knowledge management;management model;Brazilian agricultural research;Brazilian research;multi-institutional research network;research institution;Brazilian Agricultural Research Corporation;agricultural sector;incorporation information technology;integrated approach,0.0000
"SwarmIntelligent Systems Group, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland",1,1,Loïc Segapelli,1,0.3333,Ant Colony Optimization;Particle Swarm Optimization algorithm;annealing process;simulated annealing;superior behavior;common example;disjoint technique;multi-robot search;particle swarm optimizationThroughout;resulting creation,0.2778
"Vrije Universiteit Brussel, Brussels Photonics Team, Pleinlaan 2, B1050 Brussels, Belgium",0,0,Lawrence Bogaert,1,0.0000,disparity vector;D frame;multi-view video sequence;camera arraysAn efficient disparity;efficient disparity vector prediction;modified P frame;multi-view image;new prediction scheme;proposed prediction scheme;two-dimensional camera array,0.0000
"Department of Computer Sciences, Jerusalem College of Technology (Machon Lev), Jerusalem, Israel",9,1,Asaf Masa,1,3.0000,automatic extraction;previous extraction system;various baseline extraction method;academic paper;scientific article;scientific articlesMany academic journal;best result;different machine;general information;improved variant,1.0000
"Department of Clothing and Textiles, Yonsei University, Seoul, South Korea 120749",0,0,Seonah Khang,1,0.0000,Textile-Based Inductive Coil Sensor;sensor position;heart rate;heart rate measurement;main experiment;magnetic-induced conductivity;inductive sensor;appropriate position;potential position;selected position,0.0000
,0,0,Jean-Philippe Carralot,1,0.0000,edge effect;control data;experimental data;supplementary data;correction method;important method;novel edge effect correction;novel specific edge effect;proposed method;High-throughput screening,0.0000
"IUMA, Institute for Applied Microelectronics, ULPGC, University of Las Palmas of G.C., Spain",1,1,Néstor Suárez,1,0.2000,AES algorithm;code memory;code performance;extensive code optimization;ASIP template;application specific processor;cycle count;cycle count reduction;efficient software implementation;hardware customization,0.4567
,0,0,Darien Rosa Paz,1,0.0000,allocation problem;logical allocation;DatabaseThe data distribution problem;design process;querying process;Allocate Replicated Data;Database Systems;Intelligent Agent;Q-Learning Method;different location,0.0000
,0,0,Konstantinos Kalemis,2,0.0000,online environment;computer game;Mobile Learning;computer video game;online teaching;simple video game;video game;video iPods;laptop computer;different country,0.0000
"ChungAng University, Korea",1,1,ChunHo Yi,3,0.3333,collision detection;adaptive quantization;realistic expression;standard object;visual detail;dynamic density;ROI macro-blocks;exact collision detection;object collision detection performance;various collision detection algorithm,0.6111
"Switch Laboratory, Flanders Interuniversity Institute of Biotechnology, Vrije Universiteit Brussel  Pleinlaan 2, Brussels, Belgium",3,1,Sebastian Maurer-Stroh,2,0.6111,SNPeffect database;molecular phenotype;reduced database;SNPeffect v2;protein dynamic;protein function;protein sequence;related protein sequence;beTachyon search speed;current sequence search tool,0.5540
University of Salford,6,1,Khairudin Kasiran,1,2.0000,fuzzy logic;trust evaluation;trust model;E-commerce data;Fuzzy Trust Model;case study;full potential;human relationship;information customer;linguistics term,0.6667
"School of Business Administration, Northeastern University, Shenyang, China",1,1,Ye Ning,2,0.3333,Knowledge Capability;knowledge asset;knowledge capability firstly;knowledge operating capacity;knowledge-based view;empirical study;organization performance;dynamic capacity;dynamic theory;early warning mechanism,0.6111
"University of California, Riverside, USA",0,0,Kuei Chiu,2,0.0000,free online scholarly information;evaluation framework;web page;Legal Protection;authoritative scholarly information;free online scholarly informationAuthority;scholarly research;average authority value;current database protection;database resource,0.0000
"Department of Statistics, Universidad Carlos III de Madrid, C/Madrid 126, Getafe 28903, Madrid, Spain",11,2,I. Molina,5,2.4667,best linear unbiased predictor;bootstrap estimator;linear mixed model;simulation study;linear parameter;small area estimation;small area estimator;small area quantity;product error;Herriot model,2.2989
"Kharkov National University of Radio Electronics, Ukraine",1,1,Elena Mikhnova,1,0.2500,different segmentation algorithm;good segmentation;image content;segmented image;Image SegmentationThe explosion;Novel Metric;applications dependence;arbitrary partition;finite set;hard data,0.2708
"Feng Chia University Taichung, Taiwan",1,1,Kai-Yi Chin,5,0.3333,Humanoid Robot;general user;interactive agent system;interactive drama;ECA-based user interface;knowledge-based recommendation;recommender system;pedagogical agent;recommendation result;scripting language,0.2778
,0,0,Albert Martorell,1,0.0000,smart monitoring;rebooting tool,0.0000
,0,0,Xiaoen Ju,1,0.0000,C-Library function;operational profile;OS robustness forecast;OSs robustness forecast;overall robustness;particular robustness requirement;robustness concern;appropriate OSs;specific OSs;various OSs,0.0000
,0,0,Xiangxu Meng,1,0.0000,prediction model;pollution source;Urban Air Quality;common BPNN;multilayer BPNN;BP Neural Network Prediction;BP arithmetic;BP neural network;air monitor station;ambient air quality,0.0000
"CAS, China",0,0,Xin Meng,5,0.0000,Space Network;ground network;network element;CCSDSSpace wideband information network;Satellite network;frastructure network;ground communication network;ground heterogeneous network;infrastructure network;mobile IP routing network,0.0000
University of Navarra,0,0,Gorka Gallardo,1,0.0000,mobile Web apps;Mobile Web AppsWith;mobile software evolution;Authors Nicol;Gorka Gallardo;Josune Hernantes;basic technology;billion people;commercial field;current development approach,0.0000
,0,0,M Šonka,1,0.0000,new texture recognition method,0.0000
,0,0,N. Magesh,1,0.0000,analytic functionsIn;certain analytic function;certain subclasses;Hadamard product;differential sandwich result;new result;present investigation;relevant connection;superordination result,0.0000
,0,0,Xian-Yun Meng,1,0.0000,PriorityReliability analysis;probability analysis;repairable system;Different Units System;Reliability Analysis;Warm Standby Repairable;different unit;reliability index;warm standby,0.0000
"Department of Statistics, University of Rome “La Sapienza”, Rome, Italy",0,0,Mattheos K. Protopapas,2,0.0000,social learning;individual player;strategies convergence;symmetric cournot gamesThe series;time series;algorithms lead;nonlinear nonstationary time seriesNonlinear;nonstationary model;piecewise linear threshold model;regime model,0.0000
"ECE Department, Polytechnic Institute of NYU, Brooklyn, USA",1,1,Vinayaka Jyothi,1,0.3333,red team;blue team approach;blue team;blue team activity;red team activity;red team approach;Post ESC;RO-based technique;path delay measurement technique;trojan detection technique,0.2778
,0,0,Shang Xuguang,1,0.0000,actual construction process;construction cost;future similar underground construction;shorting construction period;innovative technology program;large-scale finite element engineering;technology research;underground engineering structure self-stiffness;Existing BuildingsThe sedimentation;Finite Element Research,0.0000
,1,1,Wade McNair,1,0.2000,knowledge worker;enhanced knowledge sharing experience;knowledge sharing;prototype system;Microsoft SharePointCreating incentive;Motivate Knowledge;Oak Ridge National Laboratory;Text Analysis Approach;Utilizing text analysis;challenging task,0.2567
